# x_m,y_m
291.85813,1006.271309
295.209364,1002.563885
298.54008,998.838012
301.854683,995.097795
305.157629,991.347277
308.45341,987.59046
311.746541,983.831309
315.041536,980.073801
318.342415,976.32152
321.65129,972.576289
324.968294,968.838199
328.293155,965.10708
331.625435,961.382589
334.96465,957.664316
338.310321,953.951852
341.661968,950.244782
345.019116,946.542691
348.381282,942.845166
351.747962,939.151717
355.115363,935.459171
358.459723,931.746538
361.726415,927.965243
364.853436,924.066072
367.784947,920.017114
370.458639,915.794141
372.804212,911.382839
374.739479,906.777683
376.159966,901.986123
376.936521,897.054331
376.924822,892.069844
376.074132,887.155682
374.52491,882.408234
372.481589,877.846439
370.138368,873.42791
367.714329,869.057708
365.406612,864.615535
363.441992,860.020271
362.039727,855.238931
361.192366,850.318066
360.809604,845.338999
360.837787,840.342336
361.211447,835.357175
361.87126,830.400846
362.768743,825.483735
363.840975,820.603362
364.989486,815.740167
366.147806,810.878684
367.303888,806.01666
368.459412,801.15452
369.615869,796.292587
370.773744,791.43099
371.933213,786.569764
373.094508,781.708969
374.257848,776.848662
375.423456,771.988901
376.591708,767.129767
377.766046,762.272219
378.961802,757.42001
380.200918,752.578554
381.50178,747.753181
382.881825,742.949823
384.359056,738.175555
385.952022,733.438808
387.682305,728.750471
389.573342,724.124706
391.647432,719.57821
393.925621,715.130511
396.428133,710.804878
399.173748,706.629573
402.178572,702.637146
405.44866,698.85857
408.980519,695.323748
412.767496,692.064583
416.803012,689.120873
421.078727,686.539108
425.570645,684.35221
430.231642,682.550771
435.00777,681.08139
439.857358,679.878995
444.751756,678.877174
449.675016,678.024492
454.618426,677.289558
459.575017,676.646181
464.538787,676.061516
469.504431,675.49428
474.467047,674.901266
479.42099,674.239989
484.358855,673.468343
489.270433,672.544793
494.141651,671.42862
498.953213,670.079152
503.679185,668.45601
508.285657,666.520424
512.729354,664.236586
516.957644,661.575701
520.912948,658.525165
524.537871,655.089615
527.787659,651.297474
530.625229,647.187278
533.033133,642.810131
535.017202,638.224595
536.592722,633.482953
537.778625,628.629078
538.601277,623.700433
539.094765,618.727865
539.295448,613.734808
539.240638,608.737908
538.967924,603.74803
538.515327,598.771172
537.919607,593.809337
537.211651,588.862255
536.417957,583.928214
535.55601,579.005533
534.636027,574.093304
533.666568,569.19059
532.656063,564.296167
531.613186,559.408556
530.547557,554.525851
529.469153,549.645945
528.38794,544.766672
527.313911,539.885825
526.257121,535.001233
525.227711,530.11082
524.235928,525.212659
523.292148,520.30505
522.406901,515.386577
521.590981,510.456158
520.855513,505.513116
520.21188,500.557299
519.671509,495.589239
519.246709,490.609975
518.952472,485.621257
518.804688,480.626061
518.81921,475.628739
519.01188,470.635143
519.398462,465.652828
519.99432,460.691248
520.811708,455.761396
521.857995,450.875089
523.138012,446.044722
524.641847,441.279168
526.35053,436.583099
528.244461,431.958581
530.304782,427.40571
532.512264,422.922289
534.847328,418.50392
537.291115,414.144706
539.825393,409.837432
542.432544,405.573844
545.095374,401.344781
547.798068,397.141064
550.527593,392.95471
553.272249,388.778253
556.020219,384.603973
558.759763,380.424161
561.479045,376.231144
564.166122,372.01743
566.808411,367.775503
569.393044,363.49822
571.907841,359.179533
574.340121,354.81387
576.676142,350.395984
578.901576,345.921389
581.001537,341.386601
582.958629,336.788398
584.752069,332.123999
586.360037,327.392531
587.759799,322.5954
588.927747,317.736668
589.839295,312.82354
590.472749,307.867002
590.816602,302.882044
590.857993,297.885499
590.578417,292.896637
589.972839,287.936796
589.062836,283.023604
587.876859,278.169586
586.435302,273.38501
584.753663,268.679244
582.848112,264.059623
580.733544,259.531887
578.427377,255.098576
575.950969,250.7579
573.325638,246.505684
570.569569,242.33701
567.696934,238.247666
564.72026,234.233382
561.651798,230.288788
558.503154,226.407848
555.285521,222.583885
552.009603,218.80972
548.685211,215.078173
545.320844,211.38269
541.925094,207.716089
538.50991,204.067523
535.087295,200.425879
531.661668,196.787063
528.233706,193.150444
524.803613,189.515838
521.371624,185.883021
517.937986,182.251762
514.50294,178.621835
511.066728,174.993012
507.629593,171.365063
504.191777,167.73776
500.75352,164.110873
497.315066,160.484175
493.876655,156.857435
490.43853,153.230425
487.000931,149.602915
483.564101,145.974678
480.128281,142.345483
476.693714,138.715103
473.260641,135.08331
469.829306,131.449875
466.399952,127.81457
462.972821,124.17717
459.548158,120.537446
456.126206,116.895172
452.707211,113.250124
449.291417,109.602075
445.879071,105.9508
442.470418,102.296078
439.065672,98.637719
435.664849,94.975715
432.267718,91.310282
428.874051,87.641639
425.483633,83.969994
422.096251,80.295549
