# a262b85f-d090-4bfc-aa27-752a7391c6dc,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
237.9602158,238.8538903,19.5687366,-1.4822185,-0.0000272,47.49,0,-0.002394,-0.0091306,100
239.9598815,240.8457215,19.7455932,-1.4822487,-0.000003,47.49,0,-0.0002631,-0.0010035,100
241.9595472,242.8375512,19.922442,-1.4822234,0.0000288,47.49,0,0.002533,0.0096609,100
243.9592128,244.8293726,20.0994062,-1.4821319,0.0000648,47.49,0,0.005701,0.0217436,100
245.9588785,246.8211691,20.2766294,-1.4819614,0.0001057,47.49,0,0.0092983,0.0354636,100
247.9585442,248.8129311,20.4542786,-1.4817018,0.0001545,47.49,0,0.0135875,0.0518227,100
249.9582099,250.8046366,20.6325433,-1.481342,0.0002073,47.49,0,0.018228,0.0695215,100
251.9578755,252.7962628,20.811634,-1.4808703,0.0002646,47.49,0,0.0232684,0.0887455,100
253.9575412,254.7878048,20.9917828,-1.4802782,0.000328,47.49,0,0.0288496,0.1100323,100
255.9572069,256.7792215,21.1732375,-1.4795575,0.0003939,47.49,0,0.0346458,0.1321393,100
257.9568726,258.7704864,21.3562607,-1.4787013,0.0004625,47.49,0,0.0406745,0.1551325,100
259.9565383,260.7616002,21.541128,-1.4777065,0.0005325,47.49,0,0.046836,0.1786326,100
261.9562039,262.7525037,21.7281143,-1.4765718,0.0006018,47.49,0,0.0529273,0.2018646,100
263.9558696,264.7431708,21.917495,-1.4753005,0.0006698,47.49,0,0.0589069,0.2246711,100
265.9555353,266.7336074,22.1095405,-1.473899,0.0007314,47.49,0,0.0643287,0.2453495,100
267.955201,268.7237444,22.3044948,-1.4723775,0.0007873,47.49,0,0.0692388,0.2640767,100
269.9548667,270.713563,22.5025794,-1.4707547,0.0008358,47.49,0,0.0735104,0.2803686,100
271.9545323,272.7030737,22.7039824,-1.4690504,0.0008674,47.49,0,0.0762891,0.2909666,100
273.954198,274.6922147,22.9088328,-1.4672906,0.0008859,47.49,0,0.0779123,0.2971576,100
275.9538637,276.6809841,23.1172024,-1.4655168,0.0008882,47.49,0,0.0781186,0.2979444,100
277.9535294,278.6694011,23.3290912,-1.4637626,0.0008641,47.49,0,0.0759962,0.2898497,100
279.9531951,280.6574357,23.5444132,-1.4620643,0.0008302,47.49,0,0.0730184,0.2784921,100
281.9528607,282.6451082,23.7630328,-1.4604482,0.0007861,47.49,0,0.0691379,0.2636921,100
283.9525264,284.632446,23.9847739,-1.4589271,0.0007346,47.49,-5.6173276,0.06461,0.2464226,0
285.9521921,286.6194486,24.2094331,-1.4575108,0.0006812,47.2528787,-9.6698324,0.0599107,0.2284993,0
287.9518578,288.6061432,24.4367984,-1.4562038,0.000626,46.8418796,-9.7055472,0.0550529,0.2099719,0
289.9515234,290.5925561,24.6666504,-1.4550079,0.0005701,46.4257039,-9.7395706,0.0501412,0.1912386,0
291.9511891,292.5787028,24.8987665,-1.4539237,0.0005143,46.0042847,-9.7710764,0.0452366,0.1725322,0
293.9508548,294.5646105,25.1329255,-1.4529507,0.0004588,45.577587,-9.7999451,0.0403485,0.1538892,0
295.9505205,296.5503028,25.3689065,-1.4520885,0.0004036,45.145578,-9.8259345,0.0354977,0.1353884,0
297.9501862,298.5358039,25.60649,-1.4513366,0.0003483,44.7082324,-9.8496752,0.0306343,0.1168393,0
299.9498518,300.5211401,25.8454565,-1.4506956,0.0002928,44.2654937,-9.8712757,0.0257488,0.0982059,0
301.9495175,302.5063344,26.085584,-1.4501675,0.0002353,43.817296,-9.8924031,0.0206962,0.0789351,0
