# 505354ca-1117-48f2-a79c-ec62487a6a90,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
299.7655681,130.9398363,-281.505436,2.4578839,0.0297916,21.3679325,-1.2498921,2.6183168,9.9862604,0
301.7640052,129.7251573,-283.0907322,2.5177476,0.0299153,21.2507148,-1.2876742,2.6291778,10.0276842,0
303.7624423,128.610148,-284.7411644,2.5770403,0.0296369,21.1292737,-1.3881805,2.6047375,9.9344687,0
305.7608794,127.5886603,-286.4660505,2.637003,0.0302013,20.9975671,-1.3857066,2.6542766,10.1234111,0
307.7593165,126.6767442,-288.2424679,2.6977147,0.0303919,20.8652661,-1.4175469,2.671004,10.1872092,0
309.7577537,125.87562,-290.0671024,2.7578882,0.0301242,20.7290514,-1.2631131,2.6475098,10.0976022,0
311.7561908,125.1849247,-291.9421227,2.8199813,0.0318297,20.606918,-0.7748147,2.7971697,10.6684054,0
313.7546279,124.6172387,-293.8486851,2.8852906,0.0342202,20.5316397,-0.6226417,3.0068661,11.4681875,0
315.753065,124.1782706,-295.7978385,2.9551996,0.0350919,20.4709455,-0.5958623,3.0833163,11.7597683,0
317.7515021,123.8763813,-297.7712794,3.0239195,0.0336884,20.4126927,-0.9687987,2.9602289,11.290313,0
319.7499393,123.7084512,-299.7560556,3.0904327,0.0335038,20.3176243,-1.0453771,2.9440301,11.2285309,0
321.7483764,123.6738014,-301.7655048,-3.1246825,0.0339948,20.2145397,-1.0352719,2.9871025,11.3928091,0
323.7468135,123.7747733,-303.7582513,-3.0573537,0.0336795,20.1119309,-1.1743838,2.9594452,11.287324,0
325.7452506,124.0106426,-305.7472189,-2.9898608,0.0334374,19.9948968,-1.3095731,2.9382078,11.2063244,0
327.7436878,124.3788332,-307.7133901,-2.9230583,0.0335233,19.8635772,-1.382588,2.945747,11.2350789,0
329.7421249,124.8790801,-309.6548596,-2.8556676,0.033876,19.7239872,-1.3194153,2.9766833,11.35307,0
331.740562,125.5082781,-311.5521085,-2.7867097,0.0347236,19.5898477,-1.3046412,3.0510191,11.6365867,0
333.7389991,126.2663184,-313.3995188,-2.7178999,0.0341946,19.4563009,-0.7786357,3.0046285,11.4596533,0
335.7374362,127.1527197,-315.1949923,-2.6466209,0.0381483,19.376159,-0.4153062,3.3512758,12.7817659,0
337.7358734,128.1670763,-316.9074109,-2.5657607,0.040131,19.3332773,-0.4153062,3.5250305,13.4444662,0
339.7343105,129.3144595,-318.5438212,-2.4989937,0.0264196,19.2903003,2.3432579,2.3223061,8.8572754,100
341.7327476,130.5449215,-320.1185445,-2.4645134,0.0063483,19.5315486,3.5761318,0.5583119,2.1294015,100
343.7311847,131.7929099,-321.6750581,-2.4739473,-0.0125182,19.8940881,3.5602503,-1.1008311,-4.1985699,100
345.7296218,133.0083735,-323.2601592,-2.5018321,-0.0153185,20.2485706,3.5444393,-1.3469972,-5.1374474,100
347.728059,134.1733554,-324.8803997,-2.5360037,-0.0193396,20.5954192,0.7054321,-1.7003974,-6.4853158,100
349.7264961,135.2777295,-326.5487697,-2.5791312,-0.0233624,20.6637561,-2.6788778,-2.0538175,-7.8332599,0
351.7249332,136.3023409,-328.2648633,-2.6284389,-0.0260504,20.4030311,-2.3316843,-2.2898884,-8.7336343,0
353.7233703,137.2372349,-330.03347,-2.6828834,-0.0281989,20.1733544,-2.0402213,-2.4785165,-9.4530618,0
355.7218074,138.070027,-331.850203,-2.741343,-0.0301032,19.9702208,-1.8676158,-2.6456628,-10.0905579,0
357.7202446,138.7921351,-333.7132899,-2.8027758,-0.0314646,19.7824441,-1.7319979,-2.7651333,-10.5462185,0
359.7186817,139.396908,-335.6218321,-2.8670435,-0.0326552,19.6066957,-1.5870496,-2.8695889,-10.9446119,0
361.7171188,139.8744977,-337.560941,-2.9336013,-0.0338869,19.4442608,-1.4680079,-2.977639,-11.3567151,0
363.7155559,140.2196122,-339.5260155,-3.0022475,-0.0349879,19.2927923,-1.3781836,-3.0742019,-11.7250061,0
365.713993,140.427498,-341.5185836,-3.073332,-0.0359415,19.1495015,-1.2366793,-3.1578186,-12.0439202,0
367.7124302,140.4913947,-343.5145094,3.1369347,-0.0371375,19.0200042,-1.1027437,-3.2626784,-12.4438554,0
369.7108673,140.4075737,-345.5055461,3.0617199,-0.0382726,18.9037835,-1.0906084,-3.362176,-12.8233394,0
371.7093044,140.1715783,-347.4902023,2.9845863,-0.038784,18.7881347,-0.807023,-3.4069921,-12.9942678,0
373.7077415,139.7831406,-349.4453682,2.9056326,-0.0406426,18.7020971,-0.7769968,-3.5698547,-13.6154259,0
375.7061786,139.2386123,-351.3622864,2.8238549,-0.0411505,18.618885,-0.7634159,-3.6143429,-13.7851039,0
377.7046158,138.5348532,-353.2382841,2.7416939,-0.0406816,18.5367635,-0.9122763,-3.5732695,-13.62845,0
379.7030529,137.6852302,-355.0420956,2.6612583,-0.0402209,18.4381492,-1.0791681,-3.5329071,-13.4745077,0
381.70149,136.690514,-356.7768415,2.5806417,-0.0403373,18.3208091,-1.1508136,-3.5431064,-13.5134078,0
383.6999271,135.5578943,-358.4269844,2.4992868,-0.0407944,18.1948452,-1.1592834,-3.5831475,-13.6661244,0
385.6983642,134.2966311,-359.9769813,2.417738,-0.0409706,18.0670662,-1.1502559,-3.5985867,-13.7250098,0
387.6968014,132.9115735,-361.419372,2.3348587,-0.0419914,17.9393827,-0.9027216,-3.6880002,-14.0660328,0
389.6952385,131.4133203,-362.7378269,2.2494095,-0.0439024,17.8385366,-0.6543893,-3.8553467,-14.7042922,0
391.6936756,129.8038514,-363.9212855,2.1596406,-0.0457244,17.7650746,-0.606498,-4.0148301,-15.3125619,0
393.6921127,128.0995969,-364.9520523,2.0707221,-0.0432667,17.6967166,-1.045917,-3.799686,-14.4920024,0
395.6905498,126.3073902,-365.8341352,1.9852656,-0.0442813,17.5782075,-0.341808,-3.8885196,-14.8308137,0
397.688987,124.4382372,-366.5554767,1.8911463,-0.0487603,17.5393049,-0.341808,-4.2804408,-16.3256011,0
399.6874241,122.5203483,-367.1001777,1.8087974,-0.0340231,17.5003158,2.1024009,-2.9895835,-11.4022714,100
401.6858612,120.5641664,-367.5133371,1.7521152,-0.02472,17.7387735,3.5018402,-2.1730582,-8.2880439,100
403.6842983,118.5874181,-367.8290549,1.7079904,-0.0196064,18.1289961,3.6348217,-1.723844,-6.5747411,100
405.6827354,116.6042588,-368.0639051,1.6695897,-0.0188828,18.5253455,3.6186795,-1.6602567,-6.3322191,100
407.6811726,114.6125949,-368.2238164,1.6324154,-0.018344,18.9116851,3.6026091,-1.6129075,-6.1516292,100
409.6796097,112.6144901,-368.3107261,1.5963217,-0.0177233,19.2886238,3.58661,-1.5583649,-5.9436037,100
411.6780468,110.6192608,-368.326809,1.5616073,-0.0170754,19.6567097,3.570682,-1.5014248,-5.7264342,100
413.6764839,108.6211809,-368.2747571,1.5281009,-0.0164594,20.0164383,3.5548247,-1.4472804,-5.5199274,100
415.674921,106.6245062,-368.1568854,1.4957473,-0.0158993,20.3682594,3.5390378,-1.3980533,-5.3321754,100
417.6733582,104.636067,-367.9759737,1.4645722,-0.0153332,20.7125826,3.523321,-1.3482931,-5.1423899,100
419.6717953,102.6507982,-367.7337964,1.4344178,-0.0148054,21.0497827,3.5076741,-1.3018923,-4.9654173,100
421.6702324,100.6748925,-367.4331645,1.405368,-0.0142803,21.380203,3.4920966,-1.2557362,-4.789378,100
423.6686695,98.7078838,-367.0761757,1.3773383,-0.0137484,21.7041598,3.4765883,-1.2089797,-4.6110485,100
425.6671067,96.7516989,-366.6652919,1.3503464,-0.0132569,22.0219445,3.4611488,-1.1657698,-4.4462462,100
427.6655438,94.8066205,-366.2026277,1.3243683,-0.0127445,22.3338267,3.445778,-1.1207275,-4.2744546,100
429.6639809,92.8733973,-365.6903768,1.2993404,-0.0122783,22.6400565,3.4304754,-1.0797332,-4.1181023,100
431.662418,90.9576823,-365.132117,1.2752786,-0.0118485,22.9408661,3.4152407,-1.0419503,-3.9739985,100
433.6608551,89.0482707,-364.5263724,1.2520961,-0.0113114,23.2364718,3.4000738,-0.9947279,-3.7938924,100
435.6592923,87.1577643,-363.8791683,1.2300026,-0.0107517,23.5270757,3.3849741,-0.9455164,-3.6061994,100
437.6577294,85.2848452,-363.1927898,1.209289,-0.009997,23.8128664,3.3699415,-0.8791531,-3.3530899,100
439.6561665,83.4211087,-362.4669696,1.1896659,-0.0096377,24.0940208,3.3549757,-0.8475666,-3.2326191,100
441.6546036,81.5747254,-361.7067475,1.1710497,-0.0087331,24.3707049,3.3400764,-0.7680234,-2.9292412,100
443.6530407,79.740969,-360.9142063,1.1551654,-0.0071674,24.6430745,3.3252432,-0.6303411,-2.4041209,100
445.6514779,77.9173428,-360.0950002,1.1426347,-0.0053402,24.9112766,3.3104759,-0.4696523,-1.7912538,100
447.649915,76.1036514,-359.256878,1.1337974,-0.0035669,25.1754495,3.2957742,-0.3137058,-1.1964739,100
449.6483521,74.295992,-358.4058239,1.1283001,-0.0019333,25.4357239,3.2811377,-0.1700344,-0.6485112,100
451.6467892,72.4910028,-357.5472576,1.1257247,-0.0006749,25.6922234,3.2665663,-0.0593574,-0.226389,100
453.6452263,70.6877102,-356.6864912,1.1255249,0.0003684,25.945065,3.2520596,0.0324012,0.1235781,100
455.6436635,68.8837791,-355.8269888,1.1270526,0.0011609,26.1943596,3.2376173,0.1020985,0.3894036,100
